product_id,warehouse_id,stock_quantity,last_updated
PROD-0001,WH-002,657,2024-02-28
PROD-0002,WH-004,735,2023-10-27
PROD-0003,WH-005,471,2023-04-01
PROD-0004,WH-005,419,2024-04-07
PROD-0005,WH-001,421,2024-11-29
PROD-0006,WH-005,229,2023-08-12
PROD-0007,WH-003,225,2024-09-06
PROD-0008,WH-001,33,2023-04-18
PROD-0009,WH-004,110,2023-06-23
PROD-0010,WH-003,804,2025-03-02
PROD-0011,WH-005,28,2023-04-27
PROD-0012,WH-004,794,2025-01-05
PROD-0013,WH-002,581,2024-09-08
PROD-0014,WH-003,748,2024-08-22
PROD-0015,WH-001,779,2025-02-11
PROD-0016,WH-001,199,2023-08-20
PROD-0017,WH-002,278,2025-09-22
PROD-0018,WH-003,220,2024-05-02
PROD-0019,WH-004,853,2024-05-08
PROD-0020,WH-002,979,2024-12-03
PROD-0021,WH-003,546,2025-03-24
PROD-0022,WH-001,288,2023-02-16
PROD-0023,WH-005,558,2025-03-27
PROD-0024,WH-003,90,2025-01-15
PROD-0025,WH-001,977,2023-03-14
PROD-0026,WH-004,505,2024-09-06
PROD-0027,WH-002,38,2023-03-17
PROD-0028,WH-003,930,2024-07-11
PROD-0029,WH-001,106,2024-02-15
PROD-0030,WH-001,998,2023-10-17
PROD-0031,WH-005,670,2024-12-28
PROD-0032,WH-005,678,2024-11-04
PROD-0033,WH-001,790,2023-01-26
PROD-0034,WH-001,868,2023-11-16
PROD-0035,WH-002,915,2025-07-22
PROD-0036,WH-001,154,2024-06-26
PROD-0037,WH-005,850,2025-06-21
PROD-0038,WH-004,873,2024-03-03
PROD-0039,WH-001,413,2025-07-26
PROD-0040,WH-005,33,2025-02-04
PROD-0041,WH-001,897,2024-09-27
PROD-0042,WH-005,40,2023-09-10
PROD-0043,WH-003,147,2023-05-05
PROD-0044,WH-002,264,2024-05-28
PROD-0045,WH-003,309,2024-07-20
PROD-0046,WH-003,909,2023-06-09
PROD-0047,WH-001,214,2023-11-23
PROD-0048,WH-002,76,2024-03-11
PROD-0049,WH-001,712,2024-05-04
PROD-0050,WH-005,687,2023-04-09
PROD-0051,WH-004,857,2025-08-19
PROD-0052,WH-005,102,2023-07-30
PROD-0053,WH-005,391,2023-03-02
PROD-0054,WH-001,331,2025-03-17
PROD-0055,WH-004,101,2025-05-25
PROD-0056,WH-001,809,2024-05-22
PROD-0057,WH-001,208,2025-06-16
PROD-0058,WH-002,801,2024-12-23
PROD-0059,WH-001,596,2024-11-29
PROD-0060,WH-003,948,2025-05-17
PROD-0061,WH-001,138,2023-11-07
PROD-0062,WH-004,685,2025-06-07
PROD-0063,WH-001,165,2025-09-20
PROD-0064,WH-005,568,2025-04-02
PROD-0065,WH-001,296,2023-04-05
PROD-0066,WH-001,135,2025-05-10
PROD-0067,WH-005,470,2025-05-21
PROD-0068,WH-003,324,2023-05-20
PROD-0069,WH-004,956,2024-12-14
PROD-0070,WH-001,791,2025-08-09
