order_id,product_id,quantity,subtotal
ORD-000001,PROD-0313,4,510.4
ORD-000002,PROD-0371,4,3250.64
ORD-000002,PROD-0269,2,2203.86
ORD-000003,PROD-0480,3,1183.29
ORD-000004,PROD-0094,2,1474.24
ORD-000004,PROD-0429,1,870.88
ORD-000004,PROD-0297,1,718.1
ORD-000004,PROD-0390,3,2339.1
ORD-000005,PROD-0245,2,1173.06
ORD-000005,PROD-0216,1,397.63
ORD-000006,PROD-0360,1,1011.91
ORD-000007,PROD-0069,4,877.36
ORD-000007,PROD-0179,5,2295.55
ORD-000008,PROD-0471,2,999.0
ORD-000008,PROD-0113,3,2764.32
ORD-000008,PROD-0148,5,710.8
ORD-000009,PROD-0293,4,3992.72
ORD-000010,PROD-0325,4,3894.24
ORD-000010,PROD-0437,3,178.89
ORD-000010,PROD-0348,2,2241.66
ORD-000011,PROD-0209,4,3493.16
ORD-000011,PROD-0187,2,2163.9
ORD-000011,PROD-0399,5,2257.4
ORD-000012,PROD-0256,2,2300.16
ORD-000012,PROD-0149,1,90.33
ORD-000012,PROD-0021,1,637.29
ORD-000012,PROD-0353,2,1835.62
ORD-000013,PROD-0164,1,21.34
ORD-000013,PROD-0302,1,947.28
ORD-000014,PROD-0334,2,2186.6
ORD-000015,PROD-0466,2,185.68
ORD-000015,PROD-0196,5,224.35
ORD-000015,PROD-0365,2,1513.38
ORD-000016,PROD-0270,5,4740.65
ORD-000016,PROD-0302,2,1894.56
ORD-000017,PROD-0089,5,2746.1
ORD-000017,PROD-0330,2,2123.34
ORD-000017,PROD-0172,3,3531.09
ORD-000017,PROD-0034,3,839.97
ORD-000018,PROD-0135,2,43.82
ORD-000019,PROD-0470,1,116.21
ORD-000020,PROD-0179,5,2295.55
ORD-000020,PROD-0156,4,4652.08
ORD-000021,PROD-0425,1,454.87
ORD-000022,PROD-0314,4,2056.84
ORD-000023,PROD-0064,3,3255.57
ORD-000023,PROD-0072,4,1691.36
ORD-000024,PROD-0249,4,364.52
ORD-000025,PROD-0065,5,2593.0
ORD-000025,PROD-0278,2,1223.38
ORD-000025,PROD-0210,2,985.4
ORD-000026,PROD-0401,2,1265.96
ORD-000026,PROD-0236,4,4678.32
ORD-000026,PROD-0089,5,2746.1
ORD-000027,PROD-0359,2,344.08
ORD-000028,PROD-0329,5,3335.3
ORD-000028,PROD-0347,5,5188.4
ORD-000029,PROD-0070,3,3112.68
ORD-000029,PROD-0175,5,779.3
ORD-000030,PROD-0013,5,4381.55
ORD-000031,PROD-0471,3,1498.5
ORD-000031,PROD-0064,4,4340.76
ORD-000031,PROD-0056,4,1786.32
ORD-000032,PROD-0180,1,47.9
ORD-000032,PROD-0274,5,2275.65
ORD-000032,PROD-0226,1,728.49
ORD-000033,PROD-0185,1,745.55
ORD-000033,PROD-0003,5,1415.15
ORD-000033,PROD-0095,3,3231.48
ORD-000034,PROD-0238,1,844.73
ORD-000035,PROD-0450,2,1958.36
ORD-000036,PROD-0088,5,905.45
ORD-000037,PROD-0436,2,1132.08
ORD-000038,PROD-0007,4,2905.8
ORD-000038,PROD-0328,2,2364.46
ORD-000038,PROD-0011,2,1529.28
ORD-000039,PROD-0294,4,110.84
ORD-000039,PROD-0187,2,2163.9
ORD-000040,PROD-0401,1,632.98
ORD-000041,PROD-0348,4,4483.32
ORD-000041,PROD-0131,1,328.75
ORD-000041,PROD-0369,4,680.04
ORD-000042,PROD-0191,2,955.98
ORD-000043,PROD-0500,5,3694.3
ORD-000043,PROD-0340,4,1285.04
ORD-000043,PROD-0182,5,2676.0
ORD-000044,PROD-0118,3,1259.73
ORD-000044,PROD-0336,5,1522.35
ORD-000045,PROD-0425,3,1364.61
ORD-000045,PROD-0266,3,555.84
ORD-000045,PROD-0124,2,1371.94
