order_item_id,order_id,product_id,quantity,subtotal
OI-0000001,ORD-000001,PROD-0313,4,510.40
OI-0000002,ORD-000002,PROD-0371,4,3250.64
OI-0000003,ORD-000002,PROD-0269,2,2203.86
OI-0000004,ORD-000003,PROD-0480,3,1183.29
OI-0000005,ORD-000004,PROD-0094,2,1474.24
OI-0000006,ORD-000004,PROD-0429,1,870.88
OI-0000007,ORD-000004,PROD-0297,1,718.10
OI-0000008,ORD-000004,PROD-0390,3,2339.10
OI-0000009,ORD-000005,PROD-0245,2,1173.06
OI-0000010,ORD-000005,PROD-0216,1,397.63
OI-0000011,ORD-000006,PROD-0360,1,1011.91
OI-0000012,ORD-000007,PROD-0069,4,877.36
OI-0000013,ORD-000007,PROD-0179,5,2295.55
OI-0000014,ORD-000008,PROD-0471,2,999.00
OI-0000015,ORD-000008,PROD-0113,3,2764.32
OI-0000016,ORD-000008,PROD-0148,5,710.80
OI-0000017,ORD-000009,PROD-0293,4,3992.72
OI-0000018,ORD-000010,PROD-0325,4,3894.24
OI-0000019,ORD-000010,PROD-0437,3,178.89
OI-0000020,ORD-000010,PROD-0348,2,2241.66
OI-0000021,ORD-000011,PROD-0209,4,3493.16
OI-0000022,ORD-000011,PROD-0187,2,2163.90
OI-0000023,ORD-000011,PROD-0399,5,2257.40
OI-0000024,ORD-000012,PROD-0256,2,2300.16
OI-0000025,ORD-000012,PROD-0149,1,90.33
OI-0000026,ORD-000012,PROD-0021,1,637.29
OI-0000027,ORD-000012,PROD-0353,2,1835.62
OI-0000028,ORD-000013,PROD-0164,1,21.34
OI-0000029,ORD-000013,PROD-0302,1,947.28
OI-0000030,ORD-000014,PROD-0334,2,2186.60
OI-0000031,ORD-000015,PROD-0466,2,185.68
OI-0000032,ORD-000015,PROD-0196,5,224.35
OI-0000033,ORD-000015,PROD-0365,2,1513.38
OI-0000034,ORD-000016,PROD-0270,5,4740.65
OI-0000035,ORD-000016,PROD-0302,2,1894.56
OI-0000036,ORD-000017,PROD-0089,5,2746.10
OI-0000037,ORD-000017,PROD-0330,2,2123.34
OI-0000038,ORD-000017,PROD-0172,3,3531.09
OI-0000039,ORD-000017,PROD-0034,3,839.97
OI-0000040,ORD-000018,PROD-0135,2,43.82
OI-0000041,ORD-000019,PROD-0470,1,116.21
OI-0000042,ORD-000020,PROD-0179,5,2295.55
OI-0000043,ORD-000020,PROD-0156,4,4652.08
OI-0000044,ORD-000021,PROD-0425,1,454.87
OI-0000045,ORD-000022,PROD-0314,4,2056.84
OI-0000046,ORD-000023,PROD-0064,3,3255.57
OI-0000047,ORD-000023,PROD-0072,4,1691.36
OI-0000048,ORD-000024,PROD-0249,4,364.52
OI-0000049,ORD-000025,PROD-0065,5,2593.00
OI-0000050,ORD-000025,PROD-0278,2,1223.38
OI-0000051,ORD-000025,PROD-0210,2,985.40
OI-0000052,ORD-000026,PROD-0401,2,1265.96
OI-0000053,ORD-000026,PROD-0236,4,4678.32
OI-0000054,ORD-000026,PROD-0089,5,2746.10
OI-0000055,ORD-000027,PROD-0359,2,344.08
OI-0000056,ORD-000028,PROD-0329,5,3335.30
OI-0000057,ORD-000028,PROD-0347,5,5188.40
OI-0000058,ORD-000029,PROD-0070,3,3112.68
OI-0000059,ORD-000029,PROD-0175,5,779.30
OI-0000060,ORD-000030,PROD-0013,5,4381.55
OI-0000061,ORD-000031,PROD-0471,3,1498.50
OI-0000062,ORD-000031,PROD-0064,4,4340.76
OI-0000063,ORD-000031,PROD-0056,4,1786.32
OI-0000064,ORD-000032,PROD-0180,1,47.90
OI-0000065,ORD-000032,PROD-0274,5,2275.65
OI-0000066,ORD-000032,PROD-0226,1,728.49
OI-0000067,ORD-000033,PROD-0185,1,745.55
OI-0000068,ORD-000033,PROD-0003,5,1415.15
OI-0000069,ORD-000033,PROD-0095,3,3231.48
OI-0000070,ORD-000034,PROD-0238,1,844.73
OI-0000071,ORD-000035,PROD-0450,2,1958.36
OI-0000072,ORD-000036,PROD-0088,5,905.45
OI-0000073,ORD-000037,PROD-0436,2,1132.08
OI-0000074,ORD-000038,PROD-0007,4,2905.80
OI-0000075,ORD-000038,PROD-0328,2,2364.46
OI-0000076,ORD-000038,PROD-0011,2,1529.28
OI-0000077,ORD-000039,PROD-0294,4,110.84
OI-0000078,ORD-000039,PROD-0187,2,2163.90
OI-0000079,ORD-000040,PROD-0401,1,632.98
OI-0000080,ORD-000041,PROD-0348,4,4483.32
