order_id,customer_id,order_date,status,payment_status,total_amount,shipping_address_id,payment_method_id
ORD-000001,CUST-0438,2025-08-15,processing,refunded,519.15,ADDR-00222,PM-00771
ORD-000002,CUST-0409,2024-02-17,cancelled,refunded,5459.37,ADDR-00607,PM-00084
ORD-000003,CUST-0798,2023-09-30,processing,paid,1206.91,ADDR-01260,PM-00751
ORD-000004,CUST-0691,2024-01-24,delivered,pending,5408.42,ADDR-00940,PM-00411
ORD-000005,CUST-0639,2024-12-21,processing,refunded,1589.75,ADDR-00044,PM-00742
ORD-000006,CUST-0343,2024-05-19,returned,paid,1013.01,ADDR-00170,PM-00674
ORD-000007,CUST-0407,2024-12-26,shipped,refunded,3187.21,ADDR-00019,PM-00063
ORD-000008,CUST-0214,2024-11-16,delivered,refunded,4486.63,ADDR-00689,PM-00934
ORD-000009,CUST-0212,2024-01-02,cancelled,paid,4004.52,ADDR-01230,PM-00383
ORD-000010,CUST-0094,2025-04-17,delivered,refunded,6335.10,ADDR-00497,PM-01035
ORD-000011,CUST-0024,2025-06-16,shipped,paid,7918.01,ADDR-01014,PM-00285
ORD-000012,CUST-0403,2024-07-05,delivered,failed,4863.92,ADDR-01213,PM-00341
ORD-000013,CUST-0401,2024-11-11,processing,paid,982.61,ADDR-00623,PM-00773
ORD-000014,CUST-0347,2023-10-14,shipped,pending,2204.84,ADDR-01015,PM-00235
ORD-000015,CUST-0901,2024-10-22,shipped,pending,1943.71,ADDR-00656,PM-00862
ORD-000016,CUST-0092,2025-07-17,processing,paid,6636.86,ADDR-01480,PM-00078
ORD-000017,CUST-0455,2024-06-17,processing,paid,9254.09,ADDR-00635,PM-01089
ORD-000018,CUST-0966,2024-09-06,shipped,paid,59.65,ADDR-01274,PM-00472
ORD-000019,CUST-0428,2024-03-10,processing,pending,129.01,ADDR-00856,PM-00807
ORD-000020,CUST-0831,2023-03-26,shipped,pending,6969.98,ADDR-01382,PM-00879
ORD-000021,CUST-0263,2025-02-26,cancelled,paid,455.78,ADDR-00712,PM-00452
ORD-000022,CUST-0358,2024-11-28,returned,pending,2069.27,ADDR-01382,PM-00501
ORD-000023,CUST-0208,2024-09-11,cancelled,failed,4962.09,ADDR-00286,PM-00194
ORD-000024,CUST-0486,2024-02-22,delivered,paid,376.49,ADDR-01492,PM-00213
ORD-000025,CUST-0888,2023-04-11,returned,refunded,4812.59,ADDR-00981,PM-00816
ORD-000026,CUST-0539,2025-07-16,delivered,paid,8694.35,ADDR-00180,PM-00813
ORD-000027,CUST-0436,2024-03-18,cancelled,refunded,355.27,ADDR-01055,PM-01055
ORD-000028,CUST-0407,2023-03-29,cancelled,failed,8547.89,ADDR-00347,PM-00384
ORD-000029,CUST-0001,2024-04-19,delivered,pending,3903.90,ADDR-00652,PM-01159
ORD-000030,CUST-0477,2023-06-05,cancelled,failed,4402.52,ADDR-01236,PM-01016
ORD-000031,CUST-0935,2024-07-24,delivered,paid,7633.82,ADDR-00650,PM-00061
ORD-000032,CUST-0565,2024-08-19,shipped,paid,3068.25,ADDR-00285,PM-00722
ORD-000033,CUST-0862,2025-09-27,delivered,refunded,5398.92,ADDR-00081,PM-00115
ORD-000034,CUST-0721,2024-10-15,shipped,refunded,860.39,ADDR-01150,PM-01007
ORD-000035,CUST-0658,2023-01-18,shipped,pending,1966.86,ADDR-00037,PM-00253
ORD-000036,CUST-0014,2023-03-07,returned,refunded,924.31,ADDR-01282,PM-00074
ORD-000037,CUST-0024,2024-02-16,returned,failed,1142.28,ADDR-00306,PM-00372
ORD-000038,CUST-0216,2025-04-20,processing,paid,6819.85,ADDR-00788,PM-00345
ORD-000039,CUST-0805,2023-06-26,cancelled,refunded,2286.48,ADDR-00285,PM-00532
ORD-000040,CUST-0812,2025-01-22,delivered,paid,653.15,ADDR-01429,PM-00669
ORD-000041,CUST-0781,2023-10-11,delivered,refunded,5505.68,ADDR-01359,PM-00753
ORD-000042,CUST-0505,2025-03-18,shipped,failed,962.34,ADDR-01323,PM-00623
ORD-000043,CUST-0742,2023-03-09,delivered,refunded,7660.31,ADDR-01343,PM-00879
ORD-000044,CUST-0766,2025-06-12,delivered,pending,2805.70,ADDR-00608,PM-01151
ORD-000045,CUST-0646,2023-06-13,cancelled,refunded,7513.25,ADDR-00443,PM-00890
ORD-000046,CUST-0538,2024-04-27,processing,failed,7835.17,ADDR-00500,PM-00326
ORD-000047,CUST-0673,2025-04-29,delivered,failed,4541.91,ADDR-00500,PM-00882
ORD-000048,CUST-0062,2024-01-05,processing,pending,813.65,ADDR-01090,PM-00552
ORD-000049,CUST-0202,2023-10-15,shipped,pending,3735.03,ADDR-01162,PM-00094
