product_id,product_name,category_id,price,cost,stock_quantity,created_at
PROD-0001,Gaming Mouse Model 214,CAT-002,891.15,465.58,71,2025-01-24
PROD-0002,Men's T-Shirt Model 792,CAT-048,1071.15,475.02,216,2023-02-02
PROD-0003,Wireless Headphones Model 195,CAT-014,283.03,198.41,287,2023-07-23
PROD-0004,Kids Puzzle Model 765,CAT-045,656.21,334.81,301,2023-10-12
PROD-0005,Drill Machine Model 990,CAT-001,911.77,437.49,216,2023-12-15
PROD-0006,Facial Moisturizer Model 259,CAT-014,1148.87,652.90,47,2024-01-25
PROD-0007,Men's T-Shirt Model 467,CAT-023,726.45,583.75,373,2024-04-15
PROD-0008,Electric Kettle Model 227,CAT-025,99.17,54.21,321,2024-09-25
PROD-0009,Board Game Model 982,CAT-024,694.94,522.79,23,2024-11-08
PROD-0010,Bestselling Novel Model 891,CAT-019,1182.34,978.57,443,2023-04-14
PROD-0011,Running Shoes Model 384,CAT-030,764.64,445.34,189,2023-12-30
PROD-0012,Car Floor Mats Model 786,CAT-018,843.68,625.82,36,2024-09-15
PROD-0013,Gaming Mouse Model 275,CAT-035,876.31,422.12,194,2023-10-04
PROD-0014,Office Desk Model 755,CAT-045,670.55,497.75,431,2025-02-25
PROD-0015,Baby Stroller Model 157,CAT-015,987.05,792.13,205,2023-10-02
PROD-0016,Yoga Mat Model 316,CAT-037,1052.26,586.47,335,2024-05-26
PROD-0017,Running Shoes Model 758,CAT-030,175.73,82.56,381,2024-07-28
PROD-0018,Electric Kettle Model 369,CAT-048,703.58,597.28,204,2024-01-06
PROD-0019,Bestselling Novel Model 241,CAT-033,594.75,462.65,440,2023-04-23
PROD-0020,Vitamins Supplement Model 742,CAT-011,951.53,581.46,32,2024-01-30
PROD-0021,Running Shoes Model 710,CAT-030,637.29,564.35,440,2025-08-23
PROD-0022,Wireless Headphones Model 796,CAT-047,141.89,119.53,384,2023-10-01
PROD-0023,Baby Stroller Model 756,CAT-022,138.30,85.38,232,2023-01-04
PROD-0024,Pet Bed Model 996,CAT-047,319.75,207.93,91,2024-06-03
PROD-0025,Office Desk Model 208,CAT-041,361.64,260.19,311,2023-07-23
PROD-0026,Vitamins Supplement Model 482,CAT-049,198.05,173.64,472,2024-06-27
PROD-0027,Office Desk Model 100,CAT-039,392.37,160.77,475,2024-01-07
PROD-0028,Board Game Model 951,CAT-020,291.15,151.52,290,2025-08-27
PROD-0029,Yoga Mat Model 187,CAT-047,585.76,254.57,389,2024-06-29
PROD-0030,Baby Stroller Model 228,CAT-009,793.40,692.97,84,2023-09-29
PROD-0031,4K Monitor Model 993,CAT-039,510.65,258.34,276,2025-02-12
PROD-0032,Pet Bed Model 806,CAT-013,856.97,513.75,343,2024-10-27
PROD-0033,Stainless Cookware Model 548,CAT-034,544.53,285.31,32,2023-12-13
PROD-0034,Wireless Headphones Model 702,CAT-036,279.99,142.83,36,2024-12-25
PROD-0035,Gaming Mouse Model 160,CAT-015,85.54,35.56,169,2023-03-14
PROD-0036,4K Monitor Model 343,CAT-018,804.43,407.94,67,2025-01-10
PROD-0037,Office Desk Model 684,CAT-037,569.84,451.49,413,2024-02-21
PROD-0038,Car Floor Mats Model 196,CAT-007,792.48,457.38,210,2024-04-23
PROD-0039,Protein Powder Model 846,CAT-004,809.67,722.29,50,2023-03-04
PROD-0040,Running Shoes Model 845,CAT-022,961.71,437.23,98,2023-07-14
PROD-0041,Electric Kettle Model 559,CAT-009,509.15,274.57,127,2025-06-14
PROD-0042,Office Desk Model 177,CAT-029,970.59,803.63,50,2023-02-21
PROD-0043,Gaming Mouse Model 653,CAT-001,1162.95,1003.84,434,2023-08-31
PROD-0044,Building Blocks Set Model 516,CAT-032,580.22,482.93,462,2023-03-02
PROD-0045,Building Blocks Set Model 488,CAT-001,1182.44,629.77,401,2025-03-14
PROD-0046,Bluetooth Speaker Model 392,CAT-028,837.43,640.85,401,2024-07-23
PROD-0047,Action Camera Model 835,CAT-032,189.98,104.18,495,2023-03-01
PROD-0048,Air Purifier Model 853,CAT-035,77.84,43.34,25,2024-08-21
PROD-0049,Backpack Model 614,CAT-034,193.13,170.03,41,2025-05-21
PROD-0050,Building Blocks Set Model 170,CAT-039,86.21,71.63,206,2023-05-03
PROD-0051,Board Game Model 683,CAT-016,696.81,292.57,41,2024-03-05
PROD-0052,Action Camera Model 697,CAT-037,629.73,546.20,104,2024-11-16
