reconciliation_id,order_id,transaction_id,reconciled_amount,reconciliation_date,status
1,1,d3d89f1f-2d04-4f38-b922-8d82a68568f7,1852.95,2025-05-22,Pending
2,2,3979dfd1-cc2c-4b3b-a819-a5007210192b,2146.28,2025-09-26,Pending
3,3,f939f4a1-215f-4ea9-b924-36f07041091e,879.41,2025-08-05,Pending
4,4,4376336b-8ec9-4f2e-8a01-5ab77cb497e7,1982.52,2025-08-17,Matched
5,5,6017bfb9-078c-448d-8248-e4dd68e641e2,275.22,2025-06-06,Pending
6,6,15b363ad-9398-4289-a2c0-39a529a058b6,4329.95,2025-08-13,Pending
7,7,6af6a978-a560-4643-82a9-8d642bb4e951,2694.05,2025-08-25,Matched
8,8,f684f890-36ce-498f-a428-f3b83ea7c680,3100.12,2025-04-10,Unmatched
9,9,9a15a84d-8096-4fe1-ab14-3e6ab329cbe5,1732.32,2025-07-21,Pending
10,10,b45ffa23-51ef-4f01-b3d8-4d93f50c46eb,3184.16,2025-05-10,Matched
11,11,b1b70322-efc7-42f1-9c8e-3693f9d49e3f,3550.92,2025-06-04,Pending
12,12,096fde9b-ef05-4215-99eb-8f7e9142267a,2268.75,2025-05-24,Pending
13,13,ba9f841f-9f13-45ff-9243-50965ef49d29,3563.6,2025-08-15,Matched
14,14,ba7b55f4-5f39-4427-8bc9-2ad2cf373a58,2188.13,2025-06-05,Matched
15,15,eb357163-70dd-4574-9aea-a991b3cb5262,3674.94,2025-07-02,Unmatched
16,16,4f220a3f-8849-44a6-87a0-cb1e6ff9a852,1899.2,2025-08-19,Unmatched
17,17,837fdd35-26e0-4457-acdb-b507a393f429,112.72,2025-06-13,Matched
18,18,063d8622-ac2e-47e2-ab84-b56f67391737,1072.15,2025-06-17,Pending
19,19,6ff7b1d9-1b42-4654-8b56-dece640b1f96,4460.69,2025-09-16,Pending
20,20,4ea1c6b6-b2a7-4caf-a489-c2884387b1ef,2002.13,2025-08-18,Matched
21,21,06dbac8c-4654-4ec5-b212-1c0ec5c02a57,2633.47,2025-06-19,Unmatched
22,22,2b32539c-ff2c-46f3-b369-6e4e907ada45,4197.74,2025-07-07,Unmatched
23,23,245682ba-c317-4949-a503-b0e5a7fa48fe,468.42,2025-06-01,Pending
24,24,03497125-be4e-4856-ab80-110d048f2443,207.62,2025-07-08,Unmatched
25,25,8aa47738-ddf0-4580-8892-dface5761c2b,4098.03,2025-08-02,Pending
26,26,0b35e660-2632-4ee3-b0ee-7d86644e60b4,1907.21,2025-06-25,Pending
27,27,bd8543c0-3627-484e-abad-44f0d4960146,398.35,2025-06-12,Matched
28,28,d58a37d2-d5f1-450b-935b-ffeaf1a0d186,547.47,2025-05-16,Unmatched
29,29,4714c026-bc94-414d-9b78-092445d066f8,1280.59,2025-08-25,Pending
30,30,ba81ff91-a516-4941-bc07-f0429d9ced7c,1351.32,2025-08-31,Pending
31,31,03ea1592-a025-4c95-b8a6-bb77f6fd7ba2,375.53,2025-09-01,Unmatched
32,32,1b68f48c-66c4-44db-897f-f3d7b0725bf6,1703.65,2025-05-06,Unmatched
33,33,7aa429b2-acd7-4f84-bfa9-588f6221326f,4115.32,2025-05-11,Pending
34,34,e1da73f9-3dc8-4710-af91-2c51e3559a86,4941.63,2025-08-24,Unmatched
35,35,abe489f7-11a9-4d7b-b326-7a583d3a932d,573.37,2025-08-21,Matched
