margin_id,product_id,order_id,revenue,cogs,profit_margin,margin_date
1,286,1,539.73,1630.67,30.75,2025-05-17
2,274,2,2197.32,678.9,6.41,2025-06-01
3,92,3,3898.05,1862.34,7.86,2025-07-15
4,199,4,4281.9,2216.5,24.8,2025-06-21
5,32,5,3843.77,429.68,45.8,2025-07-23
6,245,6,3447.92,248.35,53.08,2025-06-09
7,165,7,1447.52,2494.88,22.44,2025-07-23
8,42,8,2764.04,627.56,37.3,2025-09-14
9,232,9,3707.88,2747.89,20.67,2025-04-17
10,23,10,709.55,1278.5,5.92,2025-04-10
11,213,11,3300.72,527.45,5.26,2025-10-04
12,157,12,2001.11,1660.59,20.19,2025-04-16
13,26,13,4303.5,1783.93,16.43,2025-08-11
14,42,14,2841.35,149.95,10.38,2025-06-06
15,286,15,2131.19,970.23,27.68,2025-08-27
16,67,16,4014.65,2705.12,22.58,2025-09-24
17,264,17,2925.99,1425.93,33.72,2025-07-15
18,59,18,2528.42,443.39,7.56,2025-05-06
19,270,19,2915.36,175.01,36.56,2025-08-07
20,205,20,699.03,2942.39,17.0,2025-10-06
21,293,21,3256.29,353.89,32.37,2025-04-18
22,222,22,3523.09,1535.29,12.59,2025-09-17
23,217,23,562.65,165.39,42.64,2025-04-13
24,121,24,1480.37,2903.4,45.14,2025-05-22
25,164,25,1787.32,2196.35,35.77,2025-06-25
26,279,26,1759.11,945.2,53.58,2025-06-12
27,272,27,513.05,202.1,43.54,2025-09-14
28,61,28,2005.65,423.63,18.13,2025-10-07
29,173,29,3155.32,2627.36,24.85,2025-08-15
30,287,30,2166.98,1640.9,10.27,2025-05-14
31,43,31,2529.8,1735.91,32.27,2025-06-06
32,21,32,4020.09,2802.26,20.81,2025-09-23
33,266,33,4677.93,579.52,12.08,2025-09-11
34,134,34,994.36,597.09,27.48,2025-07-28
35,145,35,3996.49,154.81,55.54,2025-06-19
36,123,36,1669.32,2878.77,15.11,2025-06-16
37,120,37,3859.54,2316.84,8.53,2025-08-09
38,203,38,1064.97,672.29,40.48,2025-08-29
39,7,39,3134.15,2666.1,11.84,2025-08-18
40,233,40,4365.47,2578.0,24.1,2025-09-19
41,52,41,3348.01,1111.26,18.57,2025-06-15
42,247,42,4630.17,54.74,38.94,2025-08-28
43,62,43,3156.65,2784.56,33.21,2025-07-19
44,121,44,2631.6,2758.47,25.73,2025-05-31
45,42,45,3797.83,1983.24,17.21,2025-08-11
46,205,46,4215.8,2284.94,45.27,2025-07-14
47,137,47,2172.36,667.6,34.37,2025-09-21
48,295,48,943.5,1008.95,59.9,2025-08-26
49,37,49,2559.98,1222.55,10.66,2025-08-11
50,26,50,506.37,360.31,5.76,2025-07-13
