shipping_id,order_id,shipping_cost,shipping_date,shipping_method
1,1,29.53,2025-09-08,Overnight
2,2,394.35,2025-08-09,Standard
3,3,262.19,2025-04-11,Express
4,4,193.93,2025-06-14,Overnight
5,5,88.58,2025-09-24,Standard
6,6,165.06,2025-04-16,Express
7,7,93.48,2025-09-14,Standard
8,8,183.04,2025-08-26,Overnight
9,9,262.05,2025-07-15,Standard
10,10,260.14,2025-06-07,Standard
11,11,283.87,2025-04-20,Standard
12,12,344.3,2025-10-06,Overnight
13,13,434.48,2025-04-24,Express
14,14,295.38,2025-06-16,Express
15,15,370.81,2025-04-22,Overnight
16,16,117.75,2025-04-10,Overnight
17,17,485.45,2025-08-03,Overnight
18,18,271.07,2025-07-26,Overnight
19,19,216.51,2025-06-02,Standard
20,20,37.56,2025-08-11,Overnight
21,21,69.06,2025-04-29,Express
22,22,233.83,2025-08-11,Standard
23,23,478.35,2025-08-09,Standard
24,24,286.48,2025-09-28,Overnight
25,25,252.95,2025-07-13,Standard
26,26,221.77,2025-08-15,Express
27,27,27.89,2025-05-06,Express
28,28,266.66,2025-07-04,Standard
29,29,458.2,2025-09-16,Standard
30,30,372.36,2025-04-10,Overnight
31,31,136.64,2025-10-03,Overnight
32,32,276.44,2025-10-02,Overnight
33,33,71.12,2025-05-05,Standard
34,34,465.11,2025-08-21,Standard
35,35,103.99,2025-05-25,Express
36,36,25.8,2025-08-23,Overnight
37,37,318.49,2025-07-27,Overnight
38,38,442.73,2025-09-25,Overnight
39,39,357.22,2025-07-09,Express
40,40,473.19,2025-06-30,Standard
41,41,346.3,2025-04-22,Express
42,42,136.87,2025-04-10,Standard
43,43,266.1,2025-08-31,Overnight
44,44,297.44,2025-09-01,Overnight
45,45,77.97,2025-09-18,Express
46,46,65.96,2025-09-27,Express
47,47,138.25,2025-08-05,Express
48,48,156.9,2025-05-04,Overnight
49,49,22.7,2025-09-17,Overnight
50,50,276.11,2025-05-21,Overnight
51,51,43.84,2025-06-07,Express
52,52,258.77,2025-08-01,Overnight
53,53,340.88,2025-08-21,Express
54,54,187.19,2025-09-16,Standard
55,55,425.34,2025-05-20,Express
56,56,250.32,2025-05-27,Overnight
57,57,382.46,2025-08-06,Overnight
58,58,385.49,2025-09-05,Express
59,59,101.73,2025-04-15,Overnight
60,60,300.84,2025-08-26,Overnight
61,61,75.87,2025-07-31,Overnight
62,62,267.1,2025-08-19,Express
63,63,75.49,2025-04-29,Standard
64,64,239.76,2025-05-02,Overnight
65,65,323.66,2025-06-14,Standard
66,66,389.3,2025-08-21,Standard
67,67,350.97,2025-09-09,Overnight
68,68,434.09,2025-04-29,Overnight
69,69,223.23,2025-04-28,Standard
70,70,254.75,2025-08-10,Overnight
71,71,322.44,2025-08-13,Overnight
72,72,412.83,2025-07-08,Overnight
73,73,316.04,2025-05-12,Express
74,74,248.57,2025-05-07,Overnight
75,75,366.51,2025-04-22,Overnight
76,76,100.29,2025-08-27,Overnight
77,77,421.79,2025-04-17,Standard
78,78,163.45,2025-09-17,Standard
79,79,478.38,2025-09-02,Standard
80,80,279.17,2025-08-12,Overnight
81,81,75.19,2025-05-29,Standard
82,82,365.86,2025-08-19,Express
83,83,216.84,2025-06-18,Express
84,84,279.33,2025-08-27,Standard
85,85,478.36,2025-05-03,Express
86,86,248.87,2025-10-08,Overnight
87,87,255.06,2025-07-25,Standard
88,88,353.81,2025-07-25,Overnight
89,89,493.79,2025-10-04,Overnight
90,90,64.56,2025-10-07,Standard
91,91,319.04,2025-08-15,Overnight
92,92,386.02,2025-06-12,Express
93,93,399.34,2025-10-04,Express
94,94,72.67,2025-07-23,Overnight
95,95,350.86,2025-04-28,Standard
96,96,38.0,2025-09-04,Express
97,97,347.92,2025-08-12,Overnight
98,98,385.27,2025-04-12,Standard
99,99,346.62,2025-09-14,Standard
100,100,332.82,2025-04-28,Express
101,101,351.03,2025-06-04,Express
102,102,138.1,2025-10-05,Overnight
103,103,368.92,2025-08-08,Express
104,104,165.27,2025-04-24,Standard
105,105,415.01,2025-08-11,Overnight
106,106,123.15,2025-06-19,Overnight
107,107,96.48,2025-08-08,Standard
108,108,100.68,2025-08-27,Standard
109,109,333.2,2025-05-02,Standard
110,110,123.91,2025-06-25,Express
111,111,396.03,2025-06-08,Standard
112,112,272.35,2025-08-20,Overnight
113,113,255.85,2025-06-20,Overnight
114,114,259.21,2025-05-11,Express
115,115,235.93,2025-08-26,Express
116,116,107.72,2025-05-26,Overnight
117,117,192.98,2025-06-09,Express
118,118,456.43,2025-05-26,Express
119,119,428.32,2025-05-28,Overnight
120,120,475.28,2025-08-05,Express
121,121,82.87,2025-05-22,Express
122,122,112.0,2025-06-20,Standard
123,123,324.81,2025-09-02,Overnight
124,124,240.49,2025-04-15,Standard
125,125,335.51,2025-06-21,Express
126,126,262.25,2025-08-02,Express
127,127,65.29,2025-04-23,Overnight
128,128,371.02,2025-05-01,Overnight
129,129,325.97,2025-09-25,Overnight
130,130,136.06,2025-06-01,Overnight
131,131,45.54,2025-07-21,Overnight
132,132,336.79,2025-09-26,Overnight
133,133,396.26,2025-06-12,Express
134,134,94.94,2025-04-21,Express
135,135,390.61,2025-06-07,Express
136,136,74.01,2025-10-05,Overnight
137,137,173.45,2025-08-13,Overnight
138,138,338.9,2025-08-26,Express
139,139,21.41,2025-04-27,Standard
140,140,207.55,2025-06-24,Overnight
141,141,450.29,2025-06-22,Standard
142,142,428.4,2025-05-04,Standard
143,143,314.16,2025-06-11,Express
144,144,261.16,2025-08-11,Overnight
145,145,446.13,2025-08-02,Overnight
146,146,415.84,2025-07-23,Standard
147,147,492.67,2025-07-26,Standard
148,148,388.78,2025-06-12,Express
149,149,176.14,2025-07-18,Overnight
150,150,25.99,2025-08-14,Overnight
151,151,188.63,2025-08-06,Standard
152,152,288.49,2025-06-01,Overnight
153,153,198.69,2025-08-12,Overnight
154,154,163.37,2025-05-11,Express
155,155,127.22,2025-07-04,Standard
156,156,73.71,2025-05-25,Standard
157,157,182.75,2025-08-03,Overnight
158,158,487.69,2025-09-02,Standard
159,159,266.82,2025-07-13,Express
160,160,171.7,2025-06-04,Overnight
161,161,378.43,2025-09-29,Express
162,162,421.88,2025-07-07,Express
163,163,205.7,2025-08-30,Express
164,164,469.28,2025-09-04,Standard
165,165,219.75,2025-10-05,Express
166,166,451.79,2025-09-08,Express
