order_id,customer_id,order_date,total_amount,status,payment_status
1,226,2025-06-10,1854.65,Completed,Refunded
2,104,2025-07-01,1566.41,Completed,Paid
3,421,2025-04-12,2707.26,Pending,Paid
4,362,2025-05-05,3714.14,Pending,Refunded
5,268,2025-05-21,3470.72,Completed,Failed
6,140,2025-10-03,197.64,Pending,Failed
7,22,2025-09-26,3425.06,Completed,Paid
8,239,2025-08-07,4240.89,Pending,Failed
9,108,2025-05-29,216.02,Pending,Processing
10,478,2025-05-02,1033.83,Pending,Refunded
11,116,2025-06-27,545.87,Cancelled,Refunded
12,354,2025-06-04,1493.08,Completed,Processing
13,232,2025-08-01,1905.64,Pending,Refunded
14,355,2025-07-31,2975.73,Completed,Paid
15,104,2025-09-25,967.46,Cancelled,Processing
16,485,2025-06-28,3189.57,Cancelled,Failed
17,12,2025-04-24,2627.98,Pending,Refunded
18,380,2025-05-29,2014.13,Pending,Processing
19,155,2025-06-26,2397.21,Pending,Refunded
20,483,2025-08-22,1444.79,Pending,Paid
21,261,2025-05-09,4099.67,Cancelled,Failed
22,345,2025-07-26,104.27,Cancelled,Refunded
23,212,2025-05-19,1049.54,Completed,Refunded
24,425,2025-08-02,317.52,Pending,Failed
25,452,2025-08-21,3885.38,Pending,Paid
26,392,2025-04-26,3470.99,Cancelled,Processing
27,269,2025-06-18,459.12,Cancelled,Failed
28,213,2025-09-30,1300.78,Cancelled,Failed
29,125,2025-05-11,2474.55,Cancelled,Failed
30,488,2025-05-29,2743.89,Completed,Paid
31,95,2025-09-22,833.47,Pending,Refunded
32,53,2025-09-02,4202.99,Pending,Failed
33,467,2025-05-02,3430.56,Pending,Refunded
34,173,2025-08-20,4548.58,Cancelled,Paid
35,437,2025-04-26,1883.22,Cancelled,Paid
36,486,2025-04-29,2468.41,Cancelled,Processing
37,247,2025-07-25,4472.48,Pending,Failed
38,283,2025-07-27,2597.27,Completed,Refunded
39,73,2025-06-03,507.08,Cancelled,Failed
40,158,2025-09-15,4836.48,Cancelled,Processing
41,438,2025-04-19,2065.88,Completed,Refunded
42,300,2025-08-30,265.93,Cancelled,Refunded
43,159,2025-06-24,2043.98,Cancelled,Paid
44,30,2025-06-11,3362.15,Pending,Refunded
45,72,2025-08-11,3124.9,Cancelled,Refunded
46,261,2025-08-17,4813.81,Cancelled,Processing
47,94,2025-07-24,912.03,Completed,Failed
48,36,2025-06-20,2732.11,Completed,Refunded
49,265,2025-05-31,1787.84,Completed,Paid
50,231,2025-05-21,1200.44,Cancelled,Paid
51,430,2025-10-08,423.04,Pending,Refunded
52,207,2025-05-22,4580.31,Completed,Refunded
53,389,2025-05-28,2493.25,Cancelled,Refunded
54,213,2025-08-11,2528.4,Completed,Failed
55,152,2025-06-12,163.39,Cancelled,Processing
56,398,2025-07-20,2378.47,Cancelled,Failed
57,185,2025-06-11,430.91,Completed,Paid
58,157,2025-04-25,2303.83,Completed,Failed
59,338,2025-06-11,2267.98,Pending,Paid
60,375,2025-05-20,1031.36,Completed,Processing
61,3,2025-06-02,2863.43,Completed,Processing
62,49,2025-05-04,1596.86,Completed,Refunded
63,367,2025-08-12,1100.19,Cancelled,Paid
64,82,2025-04-23,421.94,Cancelled,Failed
65,374,2025-04-27,4230.33,Pending,Paid
66,304,2025-07-28,1412.93,Cancelled,Processing
67,424,2025-08-07,1936.16,Cancelled,Failed
68,94,2025-05-27,4142.54,Cancelled,Paid
69,95,2025-04-14,1275.0,Pending,Failed
70,339,2025-06-30,3294.25,Completed,Refunded
71,15,2025-05-21,3674.55,Completed,Refunded
72,282,2025-04-26,3994.0,Completed,Refunded
73,47,2025-09-09,3908.35,Pending,Paid
74,218,2025-08-29,3694.44,Completed,Refunded
75,281,2025-08-23,3400.3,Cancelled,Refunded
76,372,2025-08-03,3417.96,Pending,Processing
77,134,2025-06-04,1983.41,Pending,Failed
78,448,2025-09-21,4817.26,Completed,Failed
79,37,2025-05-22,4959.79,Completed,Processing
80,370,2025-04-19,2900.25,Pending,Processing
81,149,2025-07-11,3826.64,Completed,Paid
82,286,2025-06-23,218.21,Pending,Failed
83,251,2025-10-01,3013.09,Cancelled,Refunded
84,33,2025-04-22,3236.97,Pending,Paid
85,372,2025-10-06,3786.49,Pending,Failed
86,108,2025-09-22,221.64,Completed,Paid
87,220,2025-07-27,214.01,Completed,Paid
88,88,2025-08-03,915.25,Completed,Failed
89,133,2025-06-10,1823.76,Pending,Failed
90,234,2025-08-10,4867.67,Completed,Processing
91,218,2025-06-09,145.51,Cancelled,Refunded
92,81,2025-08-25,3788.39,Pending,Paid
93,282,2025-09-05,4083.86,Cancelled,Failed
94,120,2025-08-05,3253.11,Cancelled,Refunded
95,499,2025-04-12,824.22,Pending,Failed
96,215,2025-04-23,235.97,Cancelled,Paid
97,25,2025-06-25,4233.79,Completed,Failed
98,455,2025-07-19,4493.21,Completed,Failed
99,266,2025-09-25,4988.7,Completed,Processing
100,341,2025-08-03,2596.18,Cancelled,Processing
101,268,2025-05-09,1969.47,Completed,Paid
102,436,2025-05-15,2258.33,Cancelled,Refunded
103,137,2025-09-30,132.02,Pending,Refunded
104,76,2025-08-12,4303.98,Pending,Refunded
105,146,2025-06-21,3591.73,Pending,Failed
106,374,2025-08-13,1629.1,Pending,Paid
107,461,2025-08-23,2717.27,Pending,Paid
108,368,2025-05-14,2322.46,Completed,Refunded
109,381,2025-06-17,1869.36,Completed,Refunded
110,429,2025-06-18,3475.79,Completed,Paid
111,93,2025-07-17,2934.41,Pending,Processing
112,273,2025-10-04,3513.7,Cancelled,Refunded
113,235,2025-08-09,3433.37,Completed,Paid
114,460,2025-08-05,1553.39,Pending,Refunded
115,488,2025-04-27,153.37,Pending,Failed
116,326,2025-06-24,207.5,Pending,Failed
117,228,2025-09-11,1917.82,Cancelled,Paid
118,412,2025-05-29,2036.64,Completed,Refunded
119,268,2025-05-10,2444.0,Cancelled,Failed
120,130,2025-06-03,1167.42,Cancelled,Refunded
121,337,2025-09-08,560.73,Completed,Failed
122,240,2025-08-02,467.04,Pending,Failed
123,81,2025-07-21,1866.58,Completed,Refunded
124,113,2025-05-13,1547.41,Cancelled,Paid
125,196,2025-09-19,2094.9,Pending,Failed
126,193,2025-05-03,3024.59,Pending,Refunded
127,252,2025-06-07,4947.34,Completed,Paid
128,475,2025-09-08,1460.66,Completed,Paid
129,366,2025-07-20,1047.71,Cancelled,Refunded
130,495,2025-06-08,3954.65,Cancelled,Refunded
131,80,2025-07-09,4725.81,Completed,Refunded
132,347,2025-09-03,2343.95,Pending,Failed
133,470,2025-09-15,1540.38,Completed,Refunded
134,88,2025-04-28,4064.39,Cancelled,Paid
135,346,2025-08-20,2551.6,Completed,Failed
136,314,2025-08-30,2838.84,Pending,Processing
137,279,2025-09-09,1429.06,Pending,Failed
138,291,2025-09-22,1909.93,Pending,Refunded
139,103,2025-07-31,1293.09,Pending,Failed
140,203,2025-08-24,4748.06,Completed,Refunded
141,193,2025-05-17,2849.88,Pending,Processing
142,415,2025-08-15,591.28,Pending,Processing
143,426,2025-10-08,1827.81,Completed,Failed
144,360,2025-08-29,1489.28,Pending,Processing
145,173,2025-08-04,1534.74,Pending,Refunded
146,186,2025-05-10,452.37,Pending,Refunded
147,495,2025-04-15,4659.55,Cancelled,Processing
148,255,2025-04-30,3985.85,Pending,Paid
149,244,2025-04-13,155.01,Completed,Failed
150,287,2025-05-15,3311.78,Cancelled,Failed
151,173,2025-05-18,4540.19,Cancelled,Failed
152,150,2025-05-03,3757.81,Completed,Refunded
153,117,2025-08-29,4465.89,Cancelled,Processing
154,308,2025-06-24,2719.73,Cancelled,Failed
155,108,2025-05-04,1079.37,Cancelled,Paid
156,197,2025-04-25,236.88,Cancelled,Failed
157,399,2025-08-18,4511.83,Pending,Refunded
158,82,2025-06-07,1464.84,Pending,Failed
159,249,2025-09-26,2414.75,Cancelled,Paid
160,229,2025-09-03,3977.09,Completed,Processing
161,100,2025-07-14,3010.52,Cancelled,Refunded
162,319,2025-10-06,706.29,Completed,Paid
163,376,2025-05-12,4856.97,Cancelled,Refunded
164,404,2025-09-29,3737.85,Completed,Processing
165,359,2025-05-25,4507.13,Pending,Processing
166,457,2025-06-21,3745.96,Pending,Refunded
167,456,2025-05-25,4639.9,Cancelled,Paid
168,47,2025-09-19,2341.39,Cancelled,Refunded
169,311,2025-05-16,3051.49,Pending,Processing
170,44,2025-08-13,3139.71,Cancelled,Processing
171,427,2025-04-15,2345.99,Pending,Failed
172,394,2025-09-03,2884.17,Cancelled,Refunded
173,315,2025-07-07,1275.22,Cancelled,Failed
174,349,2025-05-26,4764.56,Pending,Failed
175,357,2025-05-27,4020.43,Cancelled,Refunded
176,251,2025-07-20,1417.88,Completed,Processing
177,212,2025-09-15,3742.52,Cancelled,Refunded
178,343,2025-06-18,250.31,Pending,Processing
179,271,2025-05-07,3720.22,Pending,Paid
180,279,2025-05-24,3657.28,Pending,Processing
181,419,2025-05-28,1924.36,Completed,Refunded
182,265,2025-06-04,812.37,Cancelled,Processing
183,390,2025-05-24,4502.98,Completed,Failed
184,192,2025-08-24,1501.34,Completed,Processing
185,237,2025-05-01,1812.21,Pending,Refunded
186,476,2025-08-08,3115.46,Pending,Processing
187,27,2025-06-09,4114.66,Pending,Failed
188,404,2025-06-12,1413.45,Completed,Processing
189,132,2025-10-06,694.03,Completed,Processing
190,357,2025-07-20,2688.64,Completed,Paid
191,406,2025-05-07,4556.23,Cancelled,Refunded
192,8,2025-04-12,4096.66,Pending,Processing
193,84,2025-07-14,3418.28,Cancelled,Refunded
194,434,2025-07-25,2719.02,Pending,Processing
195,81,2025-05-16,1538.91,Completed,Failed
196,360,2025-06-25,453.03,Cancelled,Refunded
197,97,2025-04-27,3077.89,Completed,Processing
198,198,2025-07-13,1349.28,Completed,Refunded
199,166,2025-05-19,3774.01,Cancelled,Processing
200,201,2025-09-07,204.43,Cancelled,Failed
201,131,2025-09-22,4061.91,Pending,Failed
202,142,2025-07-17,1861.6,Cancelled,Refunded
203,58,2025-05-28,4782.29,Cancelled,Processing
204,326,2025-08-11,2913.21,Cancelled,Paid
205,498,2025-04-09,1613.75,Pending,Paid
206,255,2025-06-01,4591.89,Pending,Paid
207,154,2025-07-18,348.13,Pending,Paid
208,224,2025-06-10,4849.32,Pending,Processing
209,226,2025-06-26,947.37,Completed,Paid
210,198,2025-05-16,3307.41,Cancelled,Refunded
211,28,2025-09-30,4201.41,Completed,Paid
212,108,2025-08-29,507.51,Cancelled,Paid
213,274,2025-05-30,195.88,Pending,Processing
214,67,2025-06-30,1149.5,Completed,Processing
215,410,2025-07-23,3588.07,Cancelled,Refunded
216,43,2025-09-10,2623.53,Completed,Refunded
217,249,2025-04-14,1117.09,Completed,Paid
218,281,2025-09-04,4551.67,Pending,Paid
219,119,2025-06-12,2160.43,Cancelled,Refunded
220,146,2025-05-03,993.13,Completed,Paid
221,439,2025-09-04,2292.93,Pending,Refunded
222,109,2025-07-08,686.97,Pending,Paid
223,268,2025-05-07,1997.2,Pending,Refunded
224,193,2025-07-09,1532.99,Completed,Failed
225,230,2025-09-08,3935.36,Pending,Failed
226,81,2025-07-01,2804.81,Cancelled,Failed
227,293,2025-09-10,963.1,Completed,Refunded
