rating_id,product_id,customer_id,rating_value,rating_date
RAT001,PROD031,CUST066,3,2024-05-29
RAT002,PROD045,CUST047,5,2025-03-15
RAT003,PROD087,CUST040,1,2024-10-01
RAT004,PROD072,CUST002,3,2025-06-21
RAT005,PROD018,CUST078,4,2024-09-13
RAT006,PROD078,CUST082,2,2025-04-27
RAT007,PROD017,CUST074,2,2025-06-19
RAT008,PROD099,CUST062,5,2024-12-21
RAT009,PROD015,CUST047,4,2024-11-11
RAT010,PROD014,CUST002,3,2024-07-26
RAT011,PROD088,CUST027,4,2024-03-16
RAT012,PROD010,CUST059,5,2025-07-16
RAT013,PROD050,CUST027,1,2025-09-24
RAT014,PROD080,CUST093,5,2024-10-27
RAT015,PROD003,CUST011,3,2025-04-26
RAT016,PROD050,CUST058,4,2025-05-02
RAT017,PROD007,CUST025,2,2025-09-01
RAT018,PROD097,CUST026,3,2024-02-23
RAT019,PROD002,CUST099,4,2024-07-27
RAT020,PROD076,CUST075,5,2024-08-24
RAT021,PROD005,CUST027,5,2024-10-29
RAT022,PROD022,CUST001,5,2024-07-15
RAT023,PROD010,CUST026,3,2025-08-18
RAT024,PROD040,CUST064,4,2024-07-27
RAT025,PROD054,CUST015,1,2024-10-12
RAT026,PROD080,CUST002,5,2025-08-30
RAT027,PROD004,CUST082,5,2025-01-24
RAT028,PROD035,CUST055,1,2025-09-04
RAT029,PROD071,CUST059,4,2025-05-12
RAT030,PROD082,CUST086,4,2024-03-28
RAT031,PROD089,CUST055,2,2025-05-15
RAT032,PROD058,CUST022,5,2024-09-06
RAT033,PROD072,CUST008,4,2025-06-16
RAT034,PROD093,CUST090,1,2024-10-30
RAT035,PROD055,CUST087,2,2025-05-01
RAT036,PROD068,CUST070,5,2025-09-08
RAT037,PROD032,CUST072,1,2024-07-25
RAT038,PROD025,CUST055,5,2025-06-08
RAT039,PROD058,CUST060,4,2024-08-16
RAT040,PROD004,CUST005,1,2024-03-30
RAT041,PROD021,CUST004,5,2025-05-28
RAT042,PROD079,CUST081,4,2024-04-21
RAT043,PROD026,CUST033,5,2024-08-19
RAT044,PROD072,CUST099,3,2024-01-30
RAT045,PROD053,CUST030,2,2024-06-14
RAT046,PROD069,CUST041,2,2024-09-24
RAT047,PROD041,CUST089,4,2025-08-08
RAT048,PROD014,CUST040,2,2025-02-14
RAT049,PROD094,CUST046,3,2024-12-20
RAT050,PROD007,CUST054,2,2024-08-23
RAT051,PROD054,CUST094,3,2025-07-09
RAT052,PROD070,CUST022,2,2024-06-02
RAT053,PROD041,CUST059,3,2025-01-16
RAT054,PROD070,CUST022,2,2024-06-19
RAT055,PROD085,CUST071,3,2024-12-25
RAT056,PROD035,CUST066,4,2024-06-17
RAT057,PROD087,CUST083,3,2025-07-21
RAT058,PROD079,CUST053,1,2025-06-06
RAT059,PROD037,CUST057,3,2025-04-06
RAT060,PROD062,CUST070,4,2024-12-04
RAT061,PROD057,CUST089,3,2024-07-05
RAT062,PROD036,CUST012,2,2025-08-21
RAT063,PROD079,CUST096,2,2024-02-01
RAT064,PROD096,CUST016,1,2025-05-10
RAT065,PROD076,CUST009,3,2025-04-06
RAT066,PROD068,CUST062,5,2024-10-16
RAT067,PROD041,CUST025,3,2025-06-11
RAT068,PROD003,CUST052,4,2025-01-19
RAT069,PROD039,CUST020,5,2025-04-30
RAT070,PROD017,CUST008,4,2024-05-31
RAT071,PROD031,CUST081,1,2025-04-10
RAT072,PROD029,CUST042,2,2025-09-27
RAT073,PROD020,CUST097,4,2024-08-25
RAT074,PROD055,CUST052,3,2024-02-20
RAT075,PROD045,CUST043,4,2024-04-17
RAT076,PROD059,CUST030,5,2024-09-22
RAT077,PROD061,CUST069,4,2025-02-05
RAT078,PROD058,CUST039,4,2024-12-18
RAT079,PROD030,CUST019,4,2024-05-26
RAT080,PROD054,CUST091,4,2024-05-31
RAT081,PROD078,CUST037,3,2025-06-11
RAT082,PROD002,CUST022,1,2025-08-03
RAT083,PROD011,CUST088,1,2024-09-19
RAT084,PROD089,CUST093,5,2025-04-20
RAT085,PROD074,CUST027,5,2025-01-23
RAT086,PROD062,CUST069,5,2025-01-20
RAT087,PROD061,CUST037,5,2024-03-28
RAT088,PROD014,CUST089,5,2025-03-02
RAT089,PROD057,CUST063,2,2025-01-25
RAT090,PROD062,CUST096,5,2024-09-12
RAT091,PROD073,CUST064,1,2025-02-28
RAT092,PROD001,CUST088,4,2025-02-05
RAT093,PROD025,CUST078,5,2024-12-17
RAT094,PROD047,CUST099,5,2024-01-26
RAT095,PROD063,CUST019,2,2024-01-07
RAT096,PROD080,CUST095,3,2025-06-09
RAT097,PROD073,CUST061,3,2024-02-17
RAT098,PROD004,CUST002,1,2024-10-12
RAT099,PROD086,CUST050,3,2024-07-29
RAT100,PROD096,CUST088,3,2024-08-03
