session_id,customer_id,session_start,session_end,device_type,browser,location,page_views_count
SES001,CUST052,2025-08-26 00:00:00,2024-11-21 00:00:00,Tablet,Chrome,Germany,44
SES002,CUST083,2024-03-04 00:00:00,2024-06-30 00:00:00,Tablet,Chrome,Germany,12
SES003,CUST066,2024-04-27 00:00:00,2024-03-25 00:00:00,Tablet,Firefox,Germany,34
SES004,CUST098,2025-01-27 00:00:00,2024-11-15 00:00:00,Tablet,Safari,UK,37
SES005,CUST013,2024-09-23 00:00:00,2025-06-17 00:00:00,Mobile,Chrome,India,14
SES006,CUST084,2024-05-06 00:00:00,2025-01-24 00:00:00,Desktop,Safari,Germany,5
SES007,CUST013,2025-04-05 00:00:00,2024-07-31 00:00:00,Desktop,Safari,India,43
SES008,CUST100,2024-09-18 00:00:00,2024-01-14 00:00:00,Tablet,Chrome,USA,12
SES009,CUST064,2025-08-24 00:00:00,2024-03-24 00:00:00,Mobile,Firefox,Germany,42
SES010,CUST070,2024-04-14 00:00:00,2025-05-12 00:00:00,Mobile,Edge,UK,42
SES011,CUST043,2025-09-18 00:00:00,2024-10-26 00:00:00,Desktop,Safari,UK,36
SES012,CUST078,2024-06-02 00:00:00,2024-07-10 00:00:00,Mobile,Edge,India,13
SES013,CUST078,2024-01-29 00:00:00,2025-03-22 00:00:00,Tablet,Safari,Germany,17
SES014,CUST014,2025-07-26 00:00:00,2024-05-03 00:00:00,Tablet,Firefox,USA,6
SES015,CUST060,2024-04-27 00:00:00,2024-01-09 00:00:00,Tablet,Safari,UK,47
SES016,CUST052,2024-10-08 00:00:00,2024-12-29 00:00:00,Tablet,Firefox,India,28
SES017,CUST002,2024-01-29 00:00:00,2025-01-31 00:00:00,Mobile,Edge,UK,43
SES018,CUST061,2024-04-26 00:00:00,2025-07-06 00:00:00,Desktop,Chrome,USA,17
SES019,CUST095,2025-02-24 00:00:00,2025-08-14 00:00:00,Desktop,Safari,USA,49
SES020,CUST009,2025-05-12 00:00:00,2024-04-17 00:00:00,Desktop,Edge,UK,30
SES021,CUST051,2025-03-22 00:00:00,2025-03-10 00:00:00,Desktop,Firefox,Germany,15
SES022,CUST084,2024-09-07 00:00:00,2025-03-07 00:00:00,Desktop,Safari,USA,34
SES023,CUST048,2024-10-17 00:00:00,2024-08-09 00:00:00,Tablet,Edge,UK,16
SES024,CUST067,2024-01-16 00:00:00,2024-11-27 00:00:00,Desktop,Edge,UK,39
SES025,CUST081,2024-09-25 00:00:00,2025-05-17 00:00:00,Mobile,Edge,USA,36
SES026,CUST050,2024-08-13 00:00:00,2025-05-04 00:00:00,Mobile,Firefox,India,38
SES027,CUST034,2024-01-14 00:00:00,2024-02-08 00:00:00,Desktop,Chrome,Germany,9
SES028,CUST045,2025-05-20 00:00:00,2025-06-25 00:00:00,Mobile,Edge,UK,18
SES029,CUST036,2024-08-10 00:00:00,2024-05-09 00:00:00,Desktop,Firefox,UK,49
SES030,CUST046,2024-08-21 00:00:00,2024-08-11 00:00:00,Tablet,Firefox,UK,34
SES031,CUST024,2025-09-29 00:00:00,2024-11-26 00:00:00,Mobile,Edge,USA,10
SES032,CUST033,2024-11-19 00:00:00,2025-08-16 00:00:00,Mobile,Safari,Germany,5
SES033,CUST072,2024-02-01 00:00:00,2025-05-29 00:00:00,Mobile,Edge,Germany,40
SES034,CUST027,2024-02-06 00:00:00,2025-07-27 00:00:00,Desktop,Chrome,Germany,11
SES035,CUST070,2025-02-22 00:00:00,2024-03-05 00:00:00,Tablet,Chrome,Germany,10
SES036,CUST011,2024-11-17 00:00:00,2025-04-29 00:00:00,Tablet,Firefox,UK,2
SES037,CUST034,2025-08-31 00:00:00,2024-12-20 00:00:00,Tablet,Edge,USA,47
SES038,CUST026,2025-01-04 00:00:00,2024-05-26 00:00:00,Tablet,Chrome,India,10
SES039,CUST081,2024-03-31 00:00:00,2024-05-02 00:00:00,Mobile,Chrome,UK,9
SES040,CUST086,2024-12-15 00:00:00,2024-02-05 00:00:00,Mobile,Chrome,India,6
SES041,CUST091,2024-12-07 00:00:00,2024-08-09 00:00:00,Tablet,Edge,USA,1
SES042,CUST062,2025-06-14 00:00:00,2025-07-12 00:00:00,Tablet,Firefox,India,46
SES043,CUST090,2024-12-28 00:00:00,2024-01-07 00:00:00,Mobile,Firefox,UK,13
SES044,CUST021,2024-03-30 00:00:00,2025-08-21 00:00:00,Tablet,Edge,USA,8
SES045,CUST094,2025-03-04 00:00:00,2025-05-31 00:00:00,Desktop,Edge,India,18
SES046,CUST073,2024-07-10 00:00:00,2024-10-12 00:00:00,Desktop,Edge,India,22
SES047,CUST002,2024-07-26 00:00:00,2024-03-22 00:00:00,Tablet,Edge,USA,44
SES048,CUST089,2025-02-17 00:00:00,2024-04-11 00:00:00,Tablet,Firefox,India,47
SES049,CUST098,2024-03-13 00:00:00,2024-03-02 00:00:00,Desktop,Firefox,Germany,40
SES050,CUST044,2025-09-09 00:00:00,2025-03-01 00:00:00,Desktop,Safari,Germany,25
SES051,CUST076,2025-06-30 00:00:00,2025-06-22 00:00:00,Mobile,Chrome,UK,26
SES052,CUST002,2024-06-27 00:00:00,2024-09-27 00:00:00,Mobile,Firefox,Germany,22
SES053,CUST064,2024-04-16 00:00:00,2025-04-07 00:00:00,Desktop,Firefox,USA,22
SES054,CUST026,2025-08-09 00:00:00,2025-09-08 00:00:00,Mobile,Chrome,Germany,49
SES055,CUST050,2024-11-09 00:00:00,2025-02-21 00:00:00,Mobile,Safari,Germany,29
SES056,CUST068,2024-01-26 00:00:00,2024-06-08 00:00:00,Desktop,Safari,Germany,24
SES057,CUST026,2025-07-18 00:00:00,2024-03-30 00:00:00,Tablet,Edge,UK,3
SES058,CUST079,2024-07-04 00:00:00,2024-03-03 00:00:00,Mobile,Firefox,UK,43
SES059,CUST072,2025-09-27 00:00:00,2024-06-14 00:00:00,Mobile,Safari,USA,42
SES060,CUST085,2025-04-16 00:00:00,2025-04-10 00:00:00,Desktop,Edge,USA,5
SES061,CUST007,2025-05-21 00:00:00,2024-03-30 00:00:00,Desktop,Chrome,UK,1
SES062,CUST025,2025-02-06 00:00:00,2025-03-05 00:00:00,Mobile,Firefox,UK,27
SES063,CUST092,2025-05-17 00:00:00,2024-09-12 00:00:00,Tablet,Firefox,India,26
SES064,CUST039,2024-06-16 00:00:00,2025-08-21 00:00:00,Mobile,Edge,India,45
SES065,CUST045,2024-12-01 00:00:00,2024-07-04 00:00:00,Mobile,Safari,India,42
SES066,CUST089,2024-08-20 00:00:00,2025-09-05 00:00:00,Desktop,Firefox,Germany,26
SES067,CUST011,2025-03-25 00:00:00,2025-05-20 00:00:00,Desktop,Chrome,USA,8
SES068,CUST028,2025-05-25 00:00:00,2025-01-25 00:00:00,Mobile,Firefox,India,9
SES069,CUST003,2024-07-31 00:00:00,2024-01-23 00:00:00,Tablet,Chrome,Germany,16
SES070,CUST009,2025-08-06 00:00:00,2024-01-23 00:00:00,Mobile,Firefox,India,19
SES071,CUST053,2025-09-02 00:00:00,2024-01-16 00:00:00,Mobile,Safari,UK,47
SES072,CUST071,2024-12-07 00:00:00,2024-11-20 00:00:00,Desktop,Firefox,India,49
SES073,CUST089,2025-03-20 00:00:00,2025-03-01 00:00:00,Mobile,Edge,UK,10
SES074,CUST051,2024-08-25 00:00:00,2024-09-23 00:00:00,Mobile,Edge,Germany,4
SES075,CUST040,2024-05-11 00:00:00,2024-07-02 00:00:00,Desktop,Firefox,Germany,20
SES076,CUST074,2025-08-17 00:00:00,2025-09-09 00:00:00,Desktop,Firefox,India,2
SES077,CUST015,2025-03-31 00:00:00,2025-04-06 00:00:00,Tablet,Edge,Germany,39
SES078,CUST034,2024-03-09 00:00:00,2025-04-19 00:00:00,Tablet,Safari,India,14
SES079,CUST064,2025-08-03 00:00:00,2024-06-05 00:00:00,Tablet,Chrome,India,47
SES080,CUST019,2025-09-07 00:00:00,2025-06-09 00:00:00,Desktop,Chrome,UK,27
SES081,CUST078,2024-09-14 00:00:00,2025-05-26 00:00:00,Mobile,Edge,Germany,2
SES082,CUST086,2025-03-31 00:00:00,2024-01-13 00:00:00,Desktop,Chrome,USA,34
SES083,CUST053,2025-05-06 00:00:00,2024-11-12 00:00:00,Mobile,Safari,USA,8
SES084,CUST081,2024-04-24 00:00:00,2024-07-12 00:00:00,Mobile,Edge,Germany,1
SES085,CUST006,2025-07-28 00:00:00,2024-03-02 00:00:00,Tablet,Safari,UK,37
SES086,CUST017,2025-01-16 00:00:00,2025-08-04 00:00:00,Desktop,Chrome,Germany,40
SES087,CUST085,2024-10-10 00:00:00,2024-11-25 00:00:00,Desktop,Firefox,India,43
SES088,CUST064,2025-07-13 00:00:00,2024-03-27 00:00:00,Tablet,Firefox,USA,28
SES089,CUST016,2024-04-12 00:00:00,2025-08-03 00:00:00,Tablet,Safari,USA,45
SES090,CUST080,2024-01-26 00:00:00,2024-01-08 00:00:00,Desktop,Safari,UK,29
SES091,CUST069,2025-04-25 00:00:00,2024-08-29 00:00:00,Desktop,Safari,Germany,48
SES092,CUST088,2025-03-27 00:00:00,2025-05-01 00:00:00,Tablet,Edge,USA,10
SES093,CUST015,2024-04-24 00:00:00,2024-11-30 00:00:00,Mobile,Safari,India,40
SES094,CUST054,2024-05-23 00:00:00,2025-04-12 00:00:00,Tablet,Chrome,USA,20
SES095,CUST054,2025-02-26 00:00:00,2025-05-04 00:00:00,Mobile,Edge,India,3
SES096,CUST088,2025-01-11 00:00:00,2025-08-23 00:00:00,Desktop,Safari,India,22
SES097,CUST041,2024-07-26 00:00:00,2024-12-26 00:00:00,Mobile,Safari,India,11
SES098,CUST060,2024-05-03 00:00:00,2024-12-13 00:00:00,Desktop,Firefox,USA,4
SES099,CUST017,2024-11-26 00:00:00,2025-05-29 00:00:00,Desktop,Safari,USA,32
SES100,CUST041,2024-03-29 00:00:00,2025-03-02 00:00:00,Desktop,Firefox,Germany,38
